,sepal length,sepal width,petal length,petal width,class,Prob
0,5.1,3.5,1.4,0.2,1,1.0
1,4.9,3.0,1.4,0.2,1,1.0
2,4.7,3.2,1.3,0.2,1,1.0
3,4.6,3.1,1.5,0.2,1,1.0
4,5.0,3.6,1.4,0.2,1,1.0
5,5.4,3.9,1.7,0.4,1,1.0
6,4.6,3.4,1.4,0.3,1,1.0
7,5.0,3.4,1.5,0.2,1,1.0
8,4.4,2.9,1.4,0.2,1,0.9999999999999966
9,4.9,3.1,1.5,0.1,1,1.0
10,5.4,3.7,1.5,0.2,1,1.0
11,4.8,3.4,1.6,0.2,1,1.0
12,4.8,3.0,1.4,0.1,1,1.0
13,4.3,3.0,1.1,0.1,1,1.0
14,5.8,4.0,1.2,0.2,1,1.0
15,5.7,4.4,1.5,0.4,1,1.0
16,5.4,3.9,1.3,0.4,1,1.0
17,5.1,3.5,1.4,0.3,1,1.0
18,5.7,3.8,1.7,0.3,1,1.0
19,5.1,3.8,1.5,0.3,1,1.0
20,5.4,3.4,1.7,0.2,1,1.0
21,5.1,3.7,1.5,0.4,1,1.0
22,4.6,3.6,1.0,0.2,1,1.0
23,5.1,3.3,1.7,0.5,1,0.9999999999999928
24,4.8,3.4,1.9,0.2,1,1.0
25,5.0,3.0,1.6,0.2,1,0.999999999999998
26,5.0,3.4,1.6,0.4,1,1.0
27,5.2,3.5,1.5,0.2,1,1.0
28,5.2,3.4,1.4,0.2,1,1.0
29,4.7,3.2,1.6,0.2,1,1.0
30,4.8,3.1,1.6,0.2,1,0.9999999999999998
31,5.4,3.4,1.5,0.4,1,1.0
32,5.2,4.1,1.5,0.1,1,1.0
33,5.5,4.2,1.4,0.2,1,1.0
34,4.9,3.1,1.5,0.1,1,1.0
35,5.0,3.2,1.2,0.2,1,1.0
36,5.5,3.5,1.3,0.2,1,1.0
37,4.9,3.1,1.5,0.1,1,1.0
38,4.4,3.0,1.3,0.2,1,1.0
39,5.1,3.4,1.5,0.2,1,1.0
40,5.0,3.5,1.3,0.3,1,1.0
41,4.5,2.3,1.3,0.3,1,0.9999999966118907
42,4.4,3.2,1.3,0.2,1,1.0
43,5.0,3.5,1.6,0.6,1,0.9999999999999999
44,5.1,3.8,1.9,0.4,1,1.0
45,4.8,3.0,1.4,0.3,1,0.9999999999999994
46,5.1,3.8,1.6,0.2,1,1.0
47,4.6,3.2,1.4,0.2,1,1.0
48,5.3,3.7,1.5,0.2,1,1.0
49,5.0,3.3,1.4,0.2,1,1.0
50,7.0,3.2,4.7,1.4,2,0.9995938361548047
51,6.4,3.2,4.5,1.5,2,0.997641182845317
52,6.9,3.1,4.9,1.5,2,0.9923868203603418
53,5.5,2.3,4.0,1.3,2,0.987193091010403
54,6.5,2.8,4.6,1.5,2,0.9882592960881192
55,5.7,2.8,4.5,1.3,2,0.9422425839381917
56,6.3,3.3,4.7,1.6,2,0.9812066981758634
57,4.9,2.4,3.3,1.0,2,0.9998114568043217
58,6.6,2.9,4.6,1.3,2,0.9979774071922247
59,5.2,2.7,3.9,1.4,2,0.9793291752410095
60,5.0,2.0,3.5,1.0,2,0.999018571551312
61,5.9,3.0,4.2,1.5,2,0.9924374508894486
62,6.0,2.2,4.0,1.0,2,0.9995611816593536
63,6.1,2.9,4.7,1.4,2,0.9521840844520516
64,5.6,2.9,3.6,1.3,2,0.9996938603246227
65,6.7,3.1,4.4,1.4,2,0.9998281695623905
66,5.6,3.0,4.5,1.5,2,0.936293610328271
67,5.8,2.7,4.1,1.0,2,0.9967553663380444
68,6.2,2.2,4.5,1.5,2,0.5856695524374032
69,5.6,2.5,3.9,1.1,2,0.999376829092429
70,5.9,3.2,4.8,1.8,0,0.5592262366779638
71,6.1,2.8,4.0,1.3,2,0.9998188455833085
72,6.3,2.5,4.9,1.5,2,0.5107691379500511
73,6.1,2.8,4.7,1.2,2,0.7971529074607078
74,6.4,2.9,4.3,1.3,2,0.9997177047460252
75,6.6,3.0,4.4,1.4,2,0.999640737483353
76,6.8,2.8,4.8,1.4,2,0.9904080152188239
77,6.7,3.0,5.0,1.7,2,0.794677097751712
78,6.0,2.9,4.5,1.5,2,0.9761195028367096
79,5.7,2.6,3.5,1.0,2,0.9999934491018388
80,5.5,2.4,3.8,1.1,2,0.999487255779417
81,5.5,2.4,3.7,1.0,2,0.9998241566027238
82,5.8,2.7,3.9,1.2,2,0.9997843070930632
83,6.0,2.7,5.1,1.6,0,0.843560266579786
84,5.4,3.0,4.5,1.5,2,0.8867523262507441
85,6.0,3.4,4.5,1.6,2,0.9812283444879167
86,6.7,3.1,4.7,1.5,2,0.9966510181627917
87,6.3,2.3,4.4,1.3,2,0.9896569866562813
88,5.6,3.0,4.1,1.3,2,0.9974216478502316
89,5.5,2.5,4.0,1.3,2,0.9941959346012262
90,5.5,2.6,4.4,1.2,2,0.8884649399404075
91,6.1,3.0,4.6,1.4,2,0.9841187000466434
92,5.8,2.6,4.0,1.2,2,0.9994309453943707
93,5.0,2.3,3.3,1.0,2,0.9998788576550446
94,5.6,2.7,4.2,1.3,2,0.9920731902489454
95,5.7,3.0,4.2,1.2,2,0.9958722654145726
96,5.7,2.9,4.2,1.3,2,0.9963538396335133
97,6.2,2.9,4.3,1.3,2,0.9992364155053101
98,5.1,2.5,3.0,1.1,2,0.999938290645977
99,5.7,2.8,4.1,1.3,2,0.997909865545988
100,6.3,3.3,6.0,2.5,0,0.9999992255207483
101,5.8,2.7,5.1,1.9,0,0.9951782463368104
102,7.1,3.0,5.9,2.1,0,0.9997111314346208
103,6.3,2.9,5.6,1.8,0,0.9888453480820248
104,6.5,3.0,5.8,2.2,0,0.9999374520998902
105,7.6,3.0,6.6,2.1,0,0.9999959348680072
106,4.9,2.5,4.5,1.7,0,0.9557696048677408
107,7.3,2.9,6.3,1.8,0,0.9999726795833547
108,6.7,2.5,5.8,1.8,0,0.9998158834930353
109,7.2,3.6,6.1,2.5,0,0.999997528843786
110,6.5,3.2,5.1,2.0,0,0.9795104374849696
111,6.4,2.7,5.3,1.9,0,0.995934274770194
112,6.8,3.0,5.5,2.1,0,0.9995289846219758
113,5.7,2.5,5.0,2.0,0,0.9999416174008144
114,5.8,2.8,5.1,2.4,0,0.9999999997891598
115,6.4,3.2,5.3,2.3,0,0.9999974522227736
116,6.5,3.0,5.5,1.8,0,0.9483587889717573
117,7.7,3.8,6.7,2.2,0,0.9994411440541499
118,7.7,2.6,6.9,2.3,0,0.9999999994771032
119,6.0,2.2,5.0,1.5,0,0.9704921891070004
120,6.9,3.2,5.7,2.3,0,0.9999887719461868
121,5.6,2.8,4.9,2.0,0,0.999341103688126
122,7.7,2.8,6.7,2.0,0,0.9999997493771201
123,6.3,2.7,4.9,1.8,0,0.9444983535809669
124,6.7,3.3,5.7,2.1,0,0.9945727103514845
125,7.2,3.2,6.0,1.8,0,0.9939538708336293
126,6.2,2.8,4.8,1.8,0,0.8942837353362972
127,6.1,3.0,4.9,1.8,0,0.7407822484607877
128,6.4,2.8,5.6,2.1,0,0.9998991687258765
129,7.2,3.0,5.8,1.6,0,0.9919595452010026
130,7.4,2.8,6.1,1.9,0,0.9998216331543687
131,7.9,3.8,6.4,2.0,0,0.9889402968748593
